n,e,T,S
22.75865107,23.60912784,1.48,235078550.5
22.60663868,23.22092551,1.5,235044849.5
22.45501556,23.0382601,1.5,235023129.2
22.30383081,23.05021662,1.5,235013096.1
22.18323096,23.14479837,1.5,235013288.5
22.03295557,23.17880055,1.48,235023558.5
21.88325024,23.52131154,1.49,235044702.7
21.73415996,23.91266079,1.51,235076433.2
21.58572861,24.38166514,1.49,235118463.1
21.43799906,24.77852259,1.51,235170506.4
21.29101308,25.44421694,1.49,235232277.7
21.1739871,26.02478438,1.48,235288507.7
21.02844158,26.60995988,1.49,235367072.3
20.88375117,26.83096066,1.46,235454569
20.73995376,27.0223038,1.44,235550714
20.59708625,27.06380469,1.49,235655223.7
20.45518454,26.82011549,1.48,235767815
20.31428356,26.45965771,1.48,235888204.4
20.20230613,26.09543397,1.49,235989940.2
20.06329132,25.69834019,1.5,236123652.3
19.92536987,25.26573398,1.5,236264369.1
19.78857302,24.54319674,1.5,236411807.2
19.65293113,23.68927022,1.5,236565682.9
19.51847359,22.96359297,1.51,236725712.5
19.3852289,22.12056096,1.51,236891612.2
19.27952496,21.37342351,1.52,237028367.7
19.1485323,20.50548768,1.52,237204118.2
19.01882747,19.7572488,1.49,237384944.1
18.89043555,19.01627665,1.49,237570561.4
18.76338077,18.09572691,1.48,237760686.7
18.63768649,17.16569933,1.48,237955036.5
18.51337522,16.37180298,1.49,238153327.8
18.41493657,15.80774785,1.5,238314608.8
18.29316877,15.30839582,1.5,238519283.1
18.17284257,14.92296764,1.47,238727109.1
18.05397734,14.60561016,1.45,238937806.3
17.93659162,14.37853272,1.51,239151095
17.82070319,14.1123242,1.45,239366696.7
17.70632902,13.79202262,1.45,239584334.1
17.59348532,13.46537962,1.44,239803731.5
17.50432269,13.25298796,4.1,239980332.6
17.39427223,12.98970949,4.85,240202209
17.28579356,12.79880311,5.1,240425083.3
17.17890003,12.65027892,5.15,240648687.5
17.07360425,12.42807404,5.07,240872756
16.96991813,12.28527154,5.06,241097026
16.86785284,12.06508348,5.07,241321238
16.78737468,11.90560862,5.07,241500393.5
16.68825285,12.04479557,5.06,241723857.4
16.59077949,12.1552467,5.06,241946554.8
16.49496318,12.60797577,5.07,242168239.8
16.40081182,13.12076645,5.06,242388671.4
16.30833267,13.29322638,6.07,242607612.7
16.21753237,13.15326671,6.12,242824832.1
16.14610493,12.97685226,6.11,242997215.4
16.05834118,12.43629458,6.1,243210768.3
15.97227146,11.8642448,6.09,243421979
15.88790001,11.41059703,6.09,243630637.4
15.80523051,11.04850707,6.08,243836539.3
15.72426603,10.46639826,6.07,244039487.3
15.64500906,10.05839054,6.11,244239291
15.58283421,9.780036131,6.61,244396746.6
15.50665524,9.169887863,6.69,244590433.4
15.43218779,8.75478789,6.44,244780481.5
15.35943224,8.515164373,6.8,244966729
15.28838844,8.244470549,6.59,245149022.2
15.21905575,8.018471679,6.51,245327216.2
15.15143296,7.753864901,6.35,245501174.2
15.09856477,7.368850477,6.31,245637204.6
15.03401528,6.828450874,6.24,245803222.4
14.97116977,6.472971831,6.2,245964669.8
14.91002522,6.292961719,6.17,246121445.3
14.85057812,6.078219928,6.15,246273456.6
14.79282452,6.041011623,6.15,246420621.5
14.73676001,5.925092439,6.74,246562867.5
14.69312132,5.746502147,6.1,246673080.4
14.64008472,5.63465304,5.94,246806322
14.5887226,5.562350818,6.15,246934495.4
14.53902897,5.711008404,6.77,247057566.9
14.4909974,5.846485647,6.28,247175513
14.44462112,6.149033988,6.13,247288320.3
14.39989294,5.940406657,6.06,247395986.1
14.36529197,5.804765412,6.02,247478421.4
14.32351111,5.505834999,5.99,247576858.2
14.28335632,5.056459347,5.98,247670200.4
14.24481906,4.694242128,5.95,247758484.2
14.20789048,4.386473304,5.93,247841755.9
14.17256137,4.003231951,5.92,247920071.9
14.13882225,3.769841183,5.91,247993498.4
14.11296915,3.716178286,5.9,248048769.9
14.08206706,3.786220864,5.89,248113593.2
14.05272676,3.799070661,5.88,248173763.7
14.02493762,3.849873842,5.87,248229383.6
13.99868877,3.605297158,5.87,248280564.1
13.97396908,3.216054799,5.86,248327425.3
13.95076716,3.043827765,5.84,248370095.5
13.93329061,2.791795023,5.84,248401305.9
13.91279124,2.382818221,5.84,248436782.3
13.89377652,2.360938976,5.83,248468470.3
13.87623423,2.373573604,5.83,248496528
13.86015192,2.367477299,5.83,248521120.7
13.84551696,2.275864033,5.83,248542420.1
13.83231654,2.163887206,5.82,248560604.7
13.82053766,2.02677616,5.81,248575858.6
13.81212924,2.033877399,5.81,248586079.2
13.80287591,2.035407699,5.8,248596540.1
13.79500693,1.912736991,5.8,248604615.2
13.78850873,1.757640234,5.8,248610508.2
13.78336765,1.691020303,5.81,248614426.9
13.77956989,1.722459477,5.8,248616583.1
13.77710153,1.825271559,5.81,248617191.8
13.77607462,1.965108487,5.8,248616711.1
13.77596386,2.182310531,5.81,248615085.8
13.7771431,2.379999452,5.81,248612529.9
13.7795981,2.507169564,5.81,248609267.9
13.7833146,2.744378182,5.79,248605525.5
13.78827825,2.675897288,5.79,248601529.7
13.7944747,2.43211868,5.79,248597508.1
13.80030978,2.27837344,5.78,248594425.5
13.80868892,2.275288606,5.78,248590932.1
13.81826047,2.303748992,5.92,248588050.8
13.82900998,2.437243248,5.91,248586008.4
13.84092303,2.519741279,6.11,248585030.9
13.8539852,2.704329773,6.29,248585342.5
13.86818208,3.033063183,6.02,248587165.7
13.88034694,3.17629319,6.02,248589860.9
13.89655017,3.372906712,6.01,248594959
13.91384804,3.445747061,5.99,248602179.6
13.93222633,3.442462913,5.99,248611735.6
13.95167092,3.256658093,5.97,248623836.3
13.97216773,2.986246038,5.96,248638687.7
13.99370281,2.793322787,5.96,248656491.8
14.01166911,2.737568875,5.96,248672994.2
14.03503821,2.828890631,5.95,248696608.8
14.05940704,2.823801744,5.96,248723719
14.08476207,2.999955536,5.95,248754509.5
14.1110899,3.303773915,5.94,248789160.4
14.13837729,3.548801833,5.94,248827846.2
14.16661115,3.687992706,5.94,248870736
14.18987101,3.785344418,5.93,248908184.8
14.21977607,3.912829361,5.92,248959049.7
14.25059186,4.099602638,5.93,249014561.4
14.28230599,4.314444791,5.92,249074866.3
14.31490625,4.316324405,5.92,249140104.8
14.34838066,4.440638132,5.92,249210410.6
14.38271744,4.579947033,5.92,249285910.8
14.41080001,4.713545507,5.91,249350132.1
14.44666018,4.821104153,5.92,249435281
14.48335104,4.966467137,5.92,249525944.1
14.52086178,5.127674059,5.92,249622222.1
14.55918183,5.359892282,5.92,249724208.8
14.59830092,5.355047532,5.93,249831990.6
14.63820904,5.400915357,5.94,249945646.5
14.67069713,5.408810343,5.93,250040849
14.71200131,5.149999077,5.94,250165253.9
14.75406816,4.952226427,5.93,250295714.5
14.79688889,5.06744605,5.94,250432281.3
14.84045502,5.274625826,5.94,250574997.1
14.88475843,5.549607076,5.94,250723896.9
14.92979134,5.793298968,5.94,250879008
14.96633792,5.872786758,5.94,251007582.4
15.01266553,5.975498591,5.94,251173917.4
15.05970284,6.188321538,5.94,251346498.3
15.10744354,6.518568042,5.94,251525322.4
15.15588168,6.727586871,5.94,251710379
15.20501174,7.112249533,5.95,251901649.5
15.25482862,7.460909828,5.95,252099107.2
15.30532764,7.728359721,5.95,252302717.5
15.34621515,7.935522312,5.96,252470007.2
15.39793167,8.125533398,5.96,252684579.2
15.45031964,8.008041302,5.96,252905163.8
15.50337609,7.915198018,5.96,253131695.8
15.55709855,7.78528952,5.97,253364101.6
15.61148505,7.796808447,5.97,253602299.9
15.66653409,7.971478696,5.97,253846200.9
15.71104968,8.266316171,5.97,254045362.3
15.76728916,8.812339192,5.97,254299276.5
15.82418975,9.377019185,5.98,254558599.2
15.88175191,9.855454175,5.98,254823209.9
15.93997669,10.42697177,5.98,255092980
15.99886565,10.94746532,5.98,255367772.7
16.05842095,11.27096513,5.99,255647443.2
16.10654676,11.55492042,5.98,255874589.1
16.16730869,11.73202794,5.99,256162648.6
16.22874602,11.9425305,5.99,256455137.1
16.29086314,12.43918432,5.99,256751879
16.353665,12.71272177,5.99,257052690.7
16.41715721,12.61228337,5.99,257357380.3
16.48134598,13.15087944,5.98,257665748.1
16.53320312,14.07642325,0.18,257914951.4
16.59866344,15.22466922,0.16,258229411.2
16.66484118,15.98000786,0.1,258546947.4
16.73174502,16.06702444,-0.03,258867330.2
16.79938436,16.39603817,-0.02,259190321.6
16.86776923,16.57468464,-0.02,259515676
16.9369104,15.22561742,-0.02,259843139.8
16.99277555,14.84971442,-0.02,260106454.5
17.06330739,14.786229,-0.02,260437052.1
17.1346294,15.15230623,-0.02,260769008.5
17.20675506,16.09435282,-0.03,261102041.2
